step,PNA,PRD,ABS,PRI,PAN,
0.0001,0,2,0,5,3,
0.0002,0,4,0,10,6,
0.0003,0,6,0,16,8,
0.0004,0,9,0,21,10,
0.0005,0,12,0,25,13,
0.0006,0,17,1,26,16,
0.0007,0,18,1,33,18,
0.0008,1,22,1,36,20,
0.0009,1,26,1,38,24,
0.001,1,30,1,43,25,
0.0011,1,31,1,50,27,
0.0012,1,35,1,55,28,
0.0013,1,40,1,59,29,
0.0014,1,44,1,63,31,
0.0015,1,48,1,67,33,
0.0016,1,52,1,70,36,
0.0017,1,56,1,73,39,
0.0018,2,61,1,75,41,
0.0019,2,65,1,77,45,
0.002,2,67,1,82,48,
0.0021,4,68,1,84,53,
0.0022,4,71,1,89,55,
0.0023,5,73,1,93,58,
0.0024,5,80,1,96,58,
0.0025,6,86,1,97,60,
0.0026,6,88,2,101,63,
0.0027,6,89,2,106,67,
0.0028,7,91,3,110,69,
0.0029,7,95,3,114,71,
0.003,7,101,3,116,73,
0.0031,7,105,3,121,74,
0.0032,7,109,4,123,77,
0.0033,7,113,4,125,81,
0.0034,7,116,4,130,83,
0.0035,8,116,5,134,87,
0.0036,8,121,5,136,90,
0.0037,8,126,5,138,93,
0.0038,8,128,5,144,95,
0.0039,8,135,5,146,96,
0.004,8,139,5,151,97,
0.0041,8,142,6,155,99,
0.0042,8,143,6,162,101,
0.0043,9,145,6,166,104,
0.0044,9,146,6,173,106,
0.0045,10,150,7,175,108,
0.0046,10,152,8,178,112,
0.0047,10,155,8,182,115,
0.0048,10,158,9,186,117,
0.0049,10,160,10,190,120,
0.005,10,163,10,193,124,
0.0051,10,168,10,197,125,
0.0052,10,170,10,200,130,
0.0053,10,175,10,203,132,
0.0054,11,176,10,206,137,
0.0055,13,182,10,207,138,
0.0056,14,185,10,212,139,
0.0057,16,185,10,217,142,
0.0058,16,190,11,219,144,
0.0059,16,195,12,222,145,
0.006,17,197,13,227,146,
0.0061,17,199,13,231,150,
0.0062,17,202,15,236,150,
0.0063,17,204,16,240,153,
0.0064,17,209,16,242,156,
0.0065,19,214,16,244,157,
0.0066,20,219,16,246,159,
0.0067,20,222,16,249,163,
0.0068,20,226,16,252,166,
0.0069,20,226,18,257,169,
0.007,20,230,18,261,171,
0.0071,20,234,18,266,172,
0.0072,20,236,18,268,178,
0.0073,20,242,19,271,178,
0.0074,21,246,19,273,181,
0.0075,21,251,19,276,183,
0.0076,21,254,19,280,186,
0.0077,21,258,19,283,189,
0.0078,22,259,20,288,191,
0.0079,22,262,20,294,192,
0.008,23,263,20,298,196,
0.0081,23,270,20,300,197,
0.0082,24,274,20,303,199,
0.0083,24,276,20,308,202,
0.0084,25,282,20,311,202,
0.0085,25,284,21,314,206,
0.0086,25,286,21,318,210,
0.0087,25,290,21,320,214,
0.0088,25,294,21,322,218,
0.0089,25,296,21,327,221,
0.009,25,300,22,330,223,
0.0091,26,302,22,333,227,
0.0092,26,305,22,336,231,
0.0093,27,310,22,337,234,
0.0094,27,313,23,340,237,
0.0095,27,316,23,345,239,
0.0096,27,317,24,349,243,
0.0097,27,319,24,352,248,
0.0098,28,323,24,356,249,
0.0099,28,330,25,357,250,
0.01,28,334,25,361,252,
0.0101,28,341,25,363,253,
0.0102,28,345,25,368,254,
0.0103,29,349,25,372,255,
0.0104,29,354,25,375,257,
0.0105,29,358,25,376,262,
0.0106,29,361,25,381,264,
0.0107,30,363,26,386,265,
0.0108,30,366,27,389,268,
0.0109,30,370,27,393,270,
0.011,30,373,27,395,275,
0.0111,30,377,27,399,277,
0.0112,30,379,29,403,279,
0.0113,30,384,29,408,279,
0.0114,30,387,29,410,284,
0.0115,30,391,29,412,288,
0.0116,30,395,29,418,288,
0.0117,31,398,29,420,292,
0.0118,31,403,29,424,293,
0.0119,31,403,29,430,297,
0.012,31,404,29,436,300,
0.0121,32,409,29,439,301,
0.0122,34,411,31,441,303,
0.0123,35,413,31,446,305,
0.0124,35,415,32,451,307,
0.0125,36,420,32,452,310,
0.0126,37,424,32,454,313,
0.0127,37,428,32,458,315,
0.0128,37,434,32,462,315,
0.0129,37,438,32,463,320,
0.013,37,441,32,468,322,
0.0131,37,444,32,473,324,
0.0132,37,447,32,479,325,
0.0133,37,451,32,482,328,
0.0134,37,454,32,486,331,
0.0135,37,456,33,491,333,
0.0136,37,461,33,493,336,
0.0137,38,467,33,496,336,
0.0138,38,473,33,496,340,
0.0139,38,477,33,502,340,
0.014,38,480,33,505,344,
0.0141,38,484,33,507,348,
0.0142,38,487,33,512,350,
0.0143,38,491,33,516,352,
0.0144,38,495,33,521,353,
0.0145,38,497,33,526,356,
0.0146,38,500,34,532,356,
0.0147,38,502,35,533,362,
0.0148,38,504,35,535,368,
0.0149,38,507,35,538,372,
0.015,38,511,36,541,374,
0.0151,38,512,36,547,377,
0.0152,38,516,37,549,380,
0.0153,38,520,39,549,384,
0.0154,38,524,40,551,387,
0.0155,38,526,40,555,391,
0.0156,38,529,40,556,397,
0.0157,38,533,40,558,401,
